Date,Open,High,Low,Close,Volume
5/2/2018 15:00:00,181.05,181.32,179.72,181.09,0
5/3/2018 15:00:00,180.37,180.72,176.56,176.56,0
5/4/2018 15:00:00,176.13,176.39,174.09,175.38,0
5/7/2018 15:00:00,176.05,177.34,175.66,177.34,0
5/8/2018 15:00:00,176.56,176.87,172.55,173.25,0
5/9/2018 15:00:00,171.74,176.42,170.73,175.87,0
5/11/2018 15:00:00,175.9,178.71,175.88,177.6,0
5/14/2018 15:00:00,176.73,177.04,174.84,176.94,0
5/15/2018 15:00:00,176.58,176.85,173.91,173.91,0
5/16/2018 15:00:00,172.35,173.85,170.78,173.58,0
5/17/2018 15:00:00,174.08,175.74,173.73,173.73,0
5/18/2018 15:00:00,174.13,174.62,173.14,173.3,0
5/21/2018 15:00:00,173.63,173.86,172.09,173,0
5/22/2018 15:00:00,173.78,175.47,173.74,174.16,0
5/23/2018 15:00:00,174.19,175.91,174.01,174.01,0
5/24/2018 15:00:00,174.76,178.55,174.75,178.3,0
5/25/2018 15:00:00,178.54,179.54,177.69,178.34,0
5/28/2018 15:00:00,178.18,180.26,178.1,179.88,0
5/30/2018 15:00:00,179.23,180.51,178.1,178.21,0
5/31/2018 15:00:00,178.51,179.42,175.8,177.02,0
6/4/2018 15:00:00,177.74,178.3,177.26,177.96,0
6/5/2018 15:00:00,178.53,181.02,178.52,181.02,0
6/6/2018 15:00:00,181.1,181.21,180.24,180.24,0
6/7/2018 15:00:00,180.65,181.46,180.49,180.68,0
6/8/2018 15:00:00,179.87,180.47,177.61,177.87,0
6/20/2018 15:00:00,176.5,176.68,173.9,175.89,0
6/21/2018 15:00:00,176.05,176.43,173.62,173.88,0
6/22/2018 15:00:00,173.78,173.86,172.51,172.96,0
6/25/2018 15:00:00,173.93,174.76,172.52,173.89,0
6/26/2018 15:00:00,173.4,174.66,172.64,174,0
6/27/2018 15:00:00,174.19,175.35,172.3,172.46,0
6/28/2018 15:00:00,172.45,173.02,168.94,169.15,0
6/29/2018 15:00:00,169.4,173.25,169.39,173.25,0
7/2/2018 15:00:00,173.85,173.95,170.79,170.9,0
7/3/2018 15:00:00,170.8,170.99,166.82,167.44,0
7/4/2018 15:00:00,167.58,169.82,165.43,169.57,0
7/5/2018 15:00:00,169.71,170.66,169.04,170.66,0
7/6/2018 15:00:00,171.2,171.61,170.48,170.58,0
7/9/2018 15:00:00,171.37,173.13,171.21,173.04,0
7/10/2018 15:00:00,173.94,175.44,173.94,175.23,0
7/11/2018 15:00:00,174.49,176.14,173.97,176.14,0
7/12/2018 15:00:00,175.69,177.09,175.69,176.76,0
7/13/2018 15:00:00,176.92,177.71,176.32,177.15,0
7/16/2018 15:00:00,176.85,177.55,173.69,175.5,0
7/17/2018 15:00:00,175.23,175.4,174.36,174.95,0
7/18/2018 15:00:00,175.04,176.63,175.01,176.28,0
7/19/2018 15:00:00,176.33,176.92,174.91,175.59,0
7/20/2018 15:00:00,175.49,175.98,174.8,175.35,0
7/23/2018 15:00:00,175.69,177.15,175.61,176.92,0
7/24/2018 15:00:00,177.28,177.99,177.28,177.61,0
7/25/2018 15:00:00,178.18,178.41,177.77,178.09,0
7/26/2018 15:00:00,178.52,179.07,177.27,177.66,0
7/27/2018 15:00:00,177.79,179.31,177.79,179.31,0
7/30/2018 15:00:00,179.44,180.7,179.44,180.7,0
7/31/2018 15:00:00,179.92,179.92,176.15,176.75,0
8/1/2018 15:00:00,177.24,179.89,176.88,179.85,0
8/2/2018 15:00:00,179.87,180.35,178.3,178.71,0
8/3/2018 15:00:00,178.49,178.81,177.37,177.76,0
8/6/2018 15:00:00,178.28,180.43,178.27,180.36,0
8/7/2018 15:00:00,180.63,180.94,179.68,180.19,0
8/8/2018 15:00:00,180.62,180.99,179.51,180.12,0
8/9/2018 15:00:00,179.8,180.72,179.29,179.52,0
8/10/2018 15:00:00,179.77,180.34,179.02,179.7,0
8/13/2018 15:00:00,178.54,178.59,173.55,173.63,0
8/14/2018 15:00:00,173.27,174.35,169.99,170.41,0
8/15/2018 15:00:00,170.79,172.08,168.32,171.95,0
8/16/2018 15:00:00,171.2,172.75,170.2,172.32,0
8/20/2018 15:00:00,173.48,176.03,173.44,175.38,0
8/21/2018 15:00:00,175.57,177.23,175.53,176.78,0
8/23/2018 15:00:00,177.32,177.84,175.57,177.21,0
8/24/2018 15:00:00,176.99,177.14,175.83,176.53,0
8/27/2018 15:00:00,177.1,178.65,177.1,178.65,0
8/28/2018 15:00:00,179.06,179.95,178.54,178.93,0
8/29/2018 15:00:00,179.16,180.01,178.53,179.94,0
8/30/2018 15:00:00,180.18,180.56,178.76,179.03,0
8/31/2018 15:00:00,178.09,178.56,176.45,178.56,0
9/3/2018 15:00:00,178.62,178.75,176.5,176.81,0
9/4/2018 15:00:00,176.84,177.03,174.26,174.45,0
9/5/2018 15:00:00,173.52,173.52,165.76,167.64,0
9/6/2018 15:00:00,166.97,169.91,166.91,169.6,0
9/7/2018 15:00:00,169.79,172.27,169.72,172.27,0
9/10/2018 15:00:00,172.11,172.53,170.61,172.53,0
9/12/2018 15:00:00,172.57,173.87,172.25,172.39,0
9/13/2018 15:00:00,173.26,174.19,173.15,173.43,0
